imageId,position
60,25
12,122
10,42
95,101
73,140
34,56
55,15
100,3
12,5
70,140
3,7
44,15
46,148
55,10
85,35
35,42
83,77
95,124
71,147
9,28
88,123
72,119
76,1
1,121
20,59
72,57
28,106
61,62
60,97
50,17
25,21
46,123
46,134
8,129
13,22
9,92
27,64
98,116
73,148
15,58
34,124
26,92
58,144
98,111
92,142
13,31
45,28
48,39
75,107
36,12
73,82
65,52
37,71
95,28
72,53
4,10
38,137
2,112
23,109
94,95
26,41
16,85
34,37
41,142
73,58
20,50
55,149
83,122
5,129
31,51
1,6
74,137
12,7
29,15
85,48
71,69
60,3
62,150
10,79
52,126
30,98
71,131
46,6
49,102
5,87
11,39
51,102
24,139
1,126
94,44
43,99
65,114
38,30
65,46
44,30
36,12
99,66
92,31
63,68
31,52
